ID;longitude;latitude;housing_median_age;mean_rooms;mean_bedrooms;population;households;median_income;median_house_value;ocean_proximity
15574;-116.78;33.00;7;7.35415439;1.146729523;5102;1697;5.5102;221000;1
15154;-117.03;33.00;6;7.972727273;1.02987013;2693;770;7.7569;387400;1
15207;-117.07;33.00;4;5.593189964;1.127240143;2211;1116;4.2500;281600;1
15208;-117.07;33.00;4;5.390459364;1.098939929;3775;1698;4.9550;241500;1
15215;-117.10;33.00;5;6.574215437;1.108142494;7417;2358;5.9094;261100;1
15240;-117.24;33.00;16;7.116147309;1.008498584;795;353;7.5975;369100;0
15243;-117.25;33.00;14;6.082125604;1.106280193;931;414;5.8393;485300;0
15244;-117.26;33.00;31;5.975609756;1.088691796;1059;451;4.7841;393500;0
15245;-117.27;33.00;36;5.776190476;1.080952381;1085;420;5.1523;387800;0
15246;-117.31;33.00;30;5.491582492;1.043771044;665;297;6.8443;492500;0
12323;-116.57;34.00;20;5.2;1.34;69;50;3.5208;76600;2
12298;-116.91;34.00;18;6.743902439;1.219512195;215;82;5.5000;193800;2
12269;-117.04;34.00;25;4.777070064;0.994904459;1594;785;2.4167;104900;2
12271;-117.04;34.00;21;5.694581281;1.049261084;2174;812;3.5255;132100;2
12270;-117.06;34.00;33;5.585106383;1.156028369;879;282;2.5357;94400;2
12105;-117.34;34.00;27;4.791044776;0.955223881;214;67;3.1750;101600;2
11871;-117.35;34.00;38;5.144067797;1.076271186;723;236;2.5469;87800;2
11875;-117.36;34.00;19;5.479713604;1.068019093;2769;838;3.3622;105100;2
11873;-117.37;34.00;36;5.14084507;1.091549296;476;142;2.4306;88900;2
11874;-117.37;34.00;41;4992;1112;770;250;3.0250;90600;2
11877;-117.38;34.00;45;5.594174757;0.998058252;1470;515;3.3687;123800;2
11966;-117.40;34.00;24;4.353383459;1.12593985;1829;532;1.6955;86800;2
11967;-117.40;34.00;31;4.212014134;1.084805654;1013;283;2.0742;76200;2
11968;-117.41;34.00;38;4.203773585;1.077358491;1697;530;1.9052;83400;2
11973;-117.41;34.00;26;3.875816993;1.014705882;1647;612;1.4719;88600;2
11974;-117.42;34.00;32;4.2;0.898701299;1153;385;3.0160;96600;2
11987;-117.48;34.00;12;5.953262787;1.01675485;3266;1134;3.8529;145500;2
11977;-117.50;34.00;15;6.10443038;1.003164557;1237;316;4.4063;128500;2
11988;-117.51;34.00;36;5.641369048;1.110119048;2258;672;3.2067;124700;2
11995;-117.55;34.00;17;4.983310153;0.973574409;1587;719;2.6979;75000;2
13367;-117.58;34.00;2;7.536463536;1.514485514;2801;1001;4.0037;245200;2
13364;-117.66;34.00;5;5.137037037;0.874074074;855;270;5.4110;201100;2
13218;-117.68;34.00;5;5.804012346;0.895061728;2335;648;5.7338;225400;2
13219;-117.69;34.00;28;5.480620155;1.19379845;561;129;2.5781;111600;2
13220;-117.70;34.00;15;6.437007874;0.933070866;2711;762;5.7021;193100;2
13217;-117.72;34.00;15;6.551051051;1.036036036;2410;666;5.4824;179700;2
6062;-117.84;34.00;26;6.99122807;1.026315789;383;114;6.8758;253800;1
6054;-117.85;34.00;26;7.193633952;1.066312997;1389;377;5.6513;227900;1
6292;-117.88;34.00;21;5.022079117;0.999080037;3394;1087;3.6308;192100;1
6305;-117.88;34.00;32;5.3;1.02;170;50;3.9375;187500;1
6304;-117.92;34.00;36;3.314285714;0.857142857;193;35;3.8125;136300;1
6325;-117.95;34.00;34;5.291759465;1.042316258;1858;449;4.1328;176300;1
6326;-117.96;34.00;33;5.975929978;1.041575492;3527;914;4.4038;186700;1
6327;-117.96;34.00;34;5.319923372;1.034482759;1954;522;4.5163;183800;1
6319;-117.97;34.00;28;5.403269755;1.021798365;1407;367;3.8319;179000;1
6321;-117.98;34.00;22;6.416961131;0.950530035;1968;566;6.0190;324900;1
6315;-117.99;34.00;26;7.2;0.956626506;1371;415;6.6988;382500;1
6970;-118.04;34.00;30;6.334128878;1.019093079;2114;838;5.1985;279200;1
6958;-118.06;34.00;34;5.601343785;1.0268757;2597;893;3.9243;219800;1
6927;-118.07;34.00;42;4;1.00862069;1471;348;2.6300;143800;1
6959;-118.07;34.00;37;4.976588629;1.063545151;2117;598;4.1058;167300;1
6928;-118.08;34.00;35;3.578313253;1.030120482;1373;332;2.9107;150900;1
6949;-118.08;34.00;32;3.227146814;0.991689751;997;361;0.9817;166300;1
6936;-118.09;34.00;36;5.140298507;1.053731343;1174;335;3.0450;160600;1
6937;-118.09;34.00;35;4.674556213;0.979289941;1290;338;4.1458;162500;1
7244;-118.10;34.00;32;3.936920223;1.096474954;1929;539;2.7311;169300;1
7245;-118.11;34.00;24;4.393053016;1.078610603;2103;547;2.7292;193800;1
7246;-118.11;34.00;38;5.605664488;1.054466231;1568;459;3.0208;193700;1
7247;-118.11;34.00;33;3.964285714;0.997252747;2650;728;2.6250;178700;1
7241;-118.12;34.00;31;4.476125512;1.047748977;2385;733;2.7308;173800;1
7255;-118.15;34.00;32;4.408219178;1.012328767;2368;730;3.1406;175300;1
7256;-118.16;34.00;37;4.382352941;1.098039216;1233;306;3.6583;150500;1
7262;-118.23;34.00;35;3.036363636;1.090909091;267;55;1.5227;350000;1
4924;-118.24;34.00;23;3.398843931;0.907514451;716;173;1.2056;87500;1
4925;-118.24;34.00;43;4.614973262;1.101604278;788;187;0.9463;95000;1
4927;-118.24;34.00;38;4.40874036;1.064267352;1714;389;1.7132;108200;1
