ID;age;Weducation;Heducation;children;religion;working;occupation;solindex;exposure;method
1;24;2;3;3;1;1;2;3;0;1
2;45;1;3;10;1;1;3;4;0;1
3;43;2;3;7;1;1;3;4;0;1
4;42;3;2;9;1;1;3;3;0;1
5;36;3;3;8;1;1;3;2;0;1
6;19;4;4;0;1;1;3;3;0;1
7;38;2;3;6;1;1;3;2;0;1
8;21;3;3;1;1;0;3;2;0;1
9;27;2;3;3;1;1;3;4;0;1
10;45;1;1;8;1;1;2;2;1;1
11;38;1;3;2;1;0;3;3;1;1
12;42;1;4;4;1;1;1;3;0;1
13;44;4;4;1;1;0;1;4;0;1
14;42;2;4;1;1;0;3;3;0;1
15;38;3;4;2;1;1;2;3;0;1
16;26;2;4;0;1;1;4;1;0;1
17;48;1;1;7;1;1;2;4;0;1
18;39;2;2;6;1;1;2;4;0;1
19;37;2;2;8;1;1;2;3;0;1
20;39;2;1;5;1;1;2;1;1;1
21;26;3;4;1;1;0;4;1;0;1
22;24;3;4;0;1;0;3;1;0;1
23;46;4;4;1;0;1;1;4;0;1
24;39;4;4;1;1;1;1;4;0;1
25;48;4;4;5;1;1;1;4;0;1
26;40;2;4;8;1;1;3;3;0;1
27;38;4;4;1;1;0;1;4;0;1
28;29;4;4;0;1;0;1;4;0;1
29;24;4;4;0;1;0;2;2;0;1
30;43;1;2;8;1;1;2;4;0;1
31;31;3;4;2;1;1;1;4;0;1
32;31;4;4;2;1;1;3;2;0;1
33;26;2;4;0;1;0;1;2;0;1
34;33;2;2;2;1;1;3;1;0;1
35;24;2;3;1;1;1;3;3;0;1
36;42;1;3;9;1;1;3;2;1;1
37;43;1;2;8;1;0;3;1;0;1
38;25;3;3;4;1;1;3;2;0;1
39;42;2;2;3;1;1;3;4;0;1
40;28;2;2;1;1;1;2;4;0;1
41;28;1;1;3;1;1;3;1;0;1
42;47;2;3;0;1;0;1;3;0;1
43;48;2;4;2;1;1;1;3;0;1
44;40;4;4;2;0;1;1;4;0;1
45;28;2;2;1;1;1;3;2;0;1
46;25;1;4;1;1;1;2;1;0;1
47;32;4;4;2;1;1;2;3;0;1
48;45;4;4;0;1;1;2;4;0;1
49;26;4;4;1;1;1;1;4;0;1
50;26;4;4;0;1;0;1;4;0;1
51;31;4;4;0;1;0;1;4;0;1
52;49;4;4;7;0;1;2;4;0;1
53;40;3;4;8;1;1;3;3;0;1
54;34;4;4;1;0;0;2;3;0;1
55;36;2;4;5;1;1;2;3;0;1
56;20;2;2;2;1;1;2;2;1;1
57;43;4;4;5;1;0;1;4;0;1
58;37;3;4;7;1;1;2;1;0;1
59;21;2;3;0;1;1;3;4;0;1
60;49;4;4;6;1;1;1;2;0;1
61;42;3;3;10;1;1;3;3;0;1
62;20;2;3;1;1;1;2;3;0;1
63;47;1;2;2;1;0;1;3;0;1
64;22;2;3;1;1;1;2;1;0;1
65;27;2;4;1;1;0;1;3;0;1
66;24;2;4;1;1;1;3;1;0;1
67;44;4;2;8;1;1;3;3;0;1
68;30;2;3;3;1;1;3;1;0;1
69;23;3;4;2;1;1;3;4;0;1
70;25;4;4;1;1;0;3;3;0;1
71;47;2;3;4;1;1;2;3;0;1
72;48;2;3;8;1;1;1;4;0;1
73;29;2;3;1;1;1;1;1;0;1
74;29;2;3;1;1;1;1;2;0;1
75;21;3;4;0;1;1;2;3;0;1
76;21;3;4;1;1;1;2;3;0;1
77;29;4;4;0;1;0;2;4;0;1
78;45;3;4;3;1;1;1;4;0;1
79;33;2;3;2;1;1;3;2;0;1
80;38;4;4;1;1;0;1;4;0;1
81;24;4;4;0;0;1;1;4;0;1
82;49;4;4;6;0;0;1;4;0;1
83;24;2;4;1;1;0;4;4;0;1
84;28;4;4;0;0;0;1;4;0;1
85;30;4;4;2;1;1;1;4;0;1
86;33;4;4;2;1;1;1;4;0;1
87;25;4;4;1;1;1;1;3;0;1
88;35;4;4;3;0;1;1;4;0;1
89;27;2;4;4;1;1;1;4;0;1
90;24;2;2;3;1;0;2;1;0;1
91;25;2;3;0;1;1;2;1;0;1
92;46;2;4;6;1;1;1;4;0;1
93;26;2;2;3;1;1;2;1;0;1
94;38;2;2;1;1;0;3;2;0;1
95;47;1;2;3;1;1;1;3;0;1
96;41;1;3;10;1;1;2;3;1;1
97;41;2;3;1;1;0;2;3;0;1
98;28;4;4;5;1;1;2;1;0;1
99;17;2;2;3;1;1;3;1;0;1
100;27;2;3;5;1;1;2;1;0;1
101;27;1;2;4;1;1;3;1;1;1
102;19;2;3;0;1;0;2;2;0;1
103;27;2;4;3;1;0;3;2;0;1
104;26;4;3;4;1;1;2;3;0;1
105;23;2;4;2;1;1;3;3;0;1
106;40;3;3;3;1;1;3;2;0;1
107;22;4;4;0;1;1;1;1;0;1
108;44;3;4;4;1;0;1;3;0;1
109;29;2;3;2;1;1;3;1;0;1
110;26;2;3;3;1;1;3;1;0;1
111;45;4;4;1;1;0;3;3;0;1
112;32;3;3;7;1;0;2;3;0;1
113;21;4;4;1;1;1;1;4;0;1
114;31;2;2;4;1;1;3;3;0;1
115;21;3;4;0;1;1;1;3;0;1
116;37;4;4;1;1;1;1;4;0;1
117;34;4;4;3;0;0;3;3;0;1
118;44;3;4;1;1;1;1;3;0;1
119;49;4;3;5;1;1;2;3;0;1
120;26;2;3;2;1;1;3;3;0;1
121;38;1;2;1;1;1;2;4;1;1
122;36;2;3;5;1;1;2;3;0;1
123;26;3;4;2;1;1;3;3;0;1
124;20;2;3;1;0;1;3;2;0;1
125;44;2;1;3;1;0;3;2;0;1
126;31;3;4;2;1;1;1;2;1;1
127;45;4;4;1;1;1;1;3;0;1
128;36;2;3;2;1;1;3;2;1;1
129;43;1;3;2;1;0;2;2;1;1
130;25;3;4;0;1;1;1;3;0;1
131;48;3;4;3;1;1;3;1;0;1
132;30;4;4;0;0;0;1;3;0;1
133;48;1;2;8;1;1;3;1;0;1
134;28;3;4;1;1;1;3;1;1;1
135;26;4;4;1;1;1;1;3;0;1
136;26;3;3;3;1;0;2;4;0;1
137;24;4;4;2;1;1;3;3;0;1
138;21;3;3;2;1;1;2;2;0;1
139;30;4;4;2;0;1;3;1;0;1
140;20;4;4;1;1;1;1;4;0;1
141;33;4;4;2;1;1;1;3;0;1
142;30;4;4;0;0;0;3;3;0;1
143;47;4;4;1;1;0;1;3;0;1
144;35;4;4;2;0;1;3;3;0;1
145;30;2;4;2;1;1;3;4;0;1
146;33;4;4;3;1;1;1;4;0;1
147;45;4;4;4;1;1;2;3;0;1
148;41;4;4;2;1;1;1;4;0;1
149;32;4;4;1;1;0;1;3;0;1
150;43;4;4;5;1;1;1;4;0;1
151;44;4;4;3;1;1;2;4;0;1
152;21;1;3;4;1;1;3;2;0;1
153;44;3;4;2;1;1;1;4;1;1
154;23;4;4;2;1;1;2;4;0;1
155;47;1;2;4;1;1;2;2;0;1
156;47;1;1;7;1;1;2;3;1;1
157;35;4;4;2;1;0;2;4;0;1
158;32;2;4;4;1;1;3;2;0;1
159;45;1;4;5;1;1;1;2;1;1
160;22;2;2;2;1;1;3;1;0;1
161;23;1;1;3;1;1;2;1;1;1
162;30;4;4;0;1;0;1;4;0;1
163;44;1;3;0;1;1;2;3;0;1
164;40;3;3;1;1;0;3;3;0;1
165;34;4;4;4;1;1;2;3;0;1
166;37;3;4;1;1;1;2;4;0;1
167;49;3;4;5;1;1;1;4;0;1
168;26;4;4;1;1;1;1;4;0;1
169;22;4;4;0;1;1;2;4;0;1
170;20;3;4;0;1;0;2;4;0;1
171;47;4;4;4;1;1;1;4;0;1
172;49;2;2;8;1;0;3;1;0;1
173;22;2;4;1;1;1;2;4;0;1
174;22;3;3;2;1;1;3;4;0;1
175;25;3;2;2;1;1;3;2;0;1
176;32;2;4;0;1;0;3;4;0;1
177;28;4;4;0;0;1;1;3;0;1
178;30;2;4;4;1;0;1;4;0;1
179;45;2;4;2;1;0;2;4;0;1
180;49;2;1;10;1;0;2;4;0;1
181;34;4;4;2;1;0;1;4;0;1
182;25;2;4;1;1;1;2;2;0;1
183;42;1;3;12;1;1;3;3;0;1
184;48;2;1;3;1;0;4;3;0;1
185;35;3;4;5;1;0;2;2;0;1
186;33;2;3;1;1;1;3;4;0;1
187;20;2;4;0;1;1;3;2;0;1
188;36;2;3;4;1;1;3;1;1;1
189;19;3;3;2;1;1;3;2;0;1
190;27;3;2;3;1;1;3;2;0;1
191;30;1;2;4;1;1;4;1;0;1
192;31;3;4;3;1;0;3;2;0;1
